id,score_mode
flagellates,1
adjudicates,0
crowdfunded,1
easternmost,1
dispatchers,1
fascination,1
metastasize,1
injunctions,1
backstroked,1
weathercock,1
tightfisted,1
anthologist,0
roughhouses,1
endlessness,0
mismatching,0
prohibitory,1
stateliness,0
populations,1
orthodoxies,0
pigeonholes,1
brobdingnag,0
autographed,0
denigration,1
doctrinaire,1
newsletters,1
safeguarded,0
condominium,1
coexistence,1
specifiable,0
undermining,1
deliciously,0
polymorphic,0
triplicates,1
judiciously,0
infantrymen,0
weightiness,1
testimonial,0
steadfastly,1
technocracy,0
perceivable,1
mockingbird,1
camerawoman,1
privileging,0
calibrating,1
forefingers,1
jinrikishas,1
misspending,0
insincerity,1
bridegrooms,0
brainwashes,0
incitements,0
instructive,0
addressable,0
mainsprings,1
pocketbooks,1
brusqueness,1
indonesians,0
clapboarded,0
australasia,1
necessitate,0
metabolisms,1
satirically,1
conferments,1
descendents,0
correctable,1
forethought,1
contaminant,1
expenditure,1
hertzsprung,0
philanderer,0
ameliorates,0
reproachful,0
ahmadinejad,0
cannibalism,0
backslidden,0
stalagmites,0
northeaster,0
outsmarting,0
subjugating,1
inferiority,0
rediscovers,0
jackrabbits,0
pyromaniacs,0
frontrunner,0
slenderized,0
chairperson,1
deliverance,0
dismantling,1
copywriters,1
impediments,0
regularizes,1
facilitates,1
hobbyhorses,1
opinionated,1
abbreviates,0
acquisition,0
sorrowfully,1
multiplexed,1
adventurous,1
overexposed,0
versatility,0
pentathlons,1
concomitant,0
roddenberry,0
discounting,1
tenaciously,0
questioners,0
fussbudgets,0
diversified,0
geographers,0
paramedical,1
commercials,0
tourniquets,1
misapplying,1
bittersweet,0
sleepyheads,0
ladyfingers,1
conciliator,1
mythologies,0
remunerated,0
overburdens,0
indomitably,1
repatriates,1
equilibrium,0
arbitrarily,0
emulsifying,0
prostrating,0
beautifying,1
elizabethan,0
strangulate,1
inhabitable,1
typecasting,1
christening,1
invocations,0
standoffish,0
capillaries,0
translucent,1
deregulates,0
alternation,0
circulating,1
frivolities,1
credentials,1
astigmatism,0
masquerades,1
